// CharaId,Name,Roma,Gender,RealName,Comment
1,"キリト","Kirito",0,"桐ヶ谷和人","CH_KIR"
2,"アスナ","Asuna",1,"結城明日奈","CH_ASU"
3,"リーファ","Leafa",1,"桐ヶ谷直葉","CH_LEA"
4,"シノン","Sinon",1,"朝田詩乃","CH_SIN"
5,"リズベット","Lisbeth",1,"篠崎里香","CH_LIS"
6,"シリカ","Silica",1,"綾野珪子","CH_SIL"
7,"クライン","Klein",0,"壺井遼太郎","CH_KLE"
8,"エギル","Agil",0,"アンドリュー","CH_AGI"
9,"ユウキ","Yuuki",1,"紺野木綿季","CH_YUU"
10,"アルゴ","Argo",1,"帆坂朋","CH_ARG"
11,"アリス","Alice",1,"アリス","CH_ALI"
12,"ユージオ","Eugeo",0,"ユージオ","CH_EUG"
18,"レイン","Rain",1,"枳殻虹架","CH_RAI"
90,"ユイ","Yui",1,"ユイ","CH_YUI"
91,"リコ","Re:co",1,"リコ","CH_REC"
92,"菊岡","Kikuoka",0,"菊岡誠二郎","CH_KIK"
95,"スズネ","Suzune",1,"須々木寧々","CH_SUZ"
999,"一般","Common",0,"なし","NONE"
