// DefragMatchQuestId,DisplayName,VsModeNo,QuestSceneId,UnitData1,UnitData2,UnitData3,DefragMatchBossTableSubId,AdaptableRate,PunisherFlag,CommentDetails
29003,"討伐競争_西フ_小",10,29003,"VS_sao_wf_day_003_unitData","VS_sao_wf_day_003_unitData1","VS_sao_wf_day_003_unitData2",1,20,True,
29004,"討伐競争_スリュム",11,29004,"VS_alo_ip_basic_002_unitData","VS_alo_ip_basic_002_unitData1","VS_alo_ip_basic_002_unitData2",2,35,False,
29005,"討伐競争_廃墟",12,29005,"VS_ggo_at_dusk_001_unitData","VS_ggo_at_dusk_001_unitData1","VS_ggo_at_dusk_001_unitData2",3,50,False,
29006,"討伐競争_海",13,29006,"VS_alo_ti_day_001_unitData","VS_alo_ti_day_001_unitData1","VS_alo_ti_day_001_unitData2",4,20,True,
29007,"討伐競争_フローリア",14,29007,"VS_sao_ff_day_001_unitData","VS_sao_ff_day_001_unitData1","VS_sao_ff_day_001_unitData2",5,20,True,
29008,"討伐競争_西の山",15,29008,"VS_sao_wm_day_001_unitData","VS_sao_wm_day_001_unitData1","VS_sao_wm_day_001_unitData2",6,20,True,
29103,"討伐競争_西フ_小_夏パ",103,29003,"VS_sao_wf_day_003_unitData","VS_sao_wf_day_003_unitData1","VS_sao_wf_day_003_unitData2",103,20,True,
29106,"討伐競争_海_夏パ",106,29006,"VS_alo_ti_day_001_unitData","VS_alo_ti_day_001_unitData1","VS_alo_ti_day_001_unitData2",106,20,True,
29107,"討伐競争_フロ_夏パ",107,29007,"VS_sao_ff_day_001_unitData","VS_sao_ff_day_001_unitData1","VS_sao_ff_day_001_unitData2",107,20,True,
29108,"討伐競争_西の山_夏パ",108,29008,"VS_sao_wm_day_001_unitData","VS_sao_wm_day_001_unitData1","VS_sao_wm_day_001_unitData2",108,20,True,
29113,"討伐競争_西フ_小_春パ",113,29003,"VS_sao_wf_day_003_unitData","VS_sao_wf_day_003_unitData1","VS_sao_wf_day_003_unitData2",113,20,True,
29116,"討伐競争_海_春パ",116,29006,"VS_alo_ti_day_001_unitData","VS_alo_ti_day_001_unitData1","VS_alo_ti_day_001_unitData2",116,20,True,
29117,"討伐競争_フロ_春パ",117,29007,"VS_sao_ff_day_001_unitData","VS_sao_ff_day_001_unitData1","VS_sao_ff_day_001_unitData2",117,20,True,
29118,"討伐競争_西の山_春パ",118,29008,"VS_sao_wm_day_001_unitData","VS_sao_wm_day_001_unitData1","VS_sao_wm_day_001_unitData2",118,20,True,
