// DefragMatchRandomBonusConditionId,Format,HudFormat,FormatParamSize,Memo
1,"ファーストアタックを{0}回達成","【現在{0}回】",1,
2,"ラストアタックを{0}回達成","【現在{0}回】",1,
3,"上位種モンスターを{0}体討伐","【現在{0}体】",1,
4,"Mobモンスターを{0}体討伐","【現在{0}体】",1,
5,"レコードメダルを{0}個獲得","【現在{0}個】",1,
6,"フラグメントを{0}個獲得","【現在{0}個】",1,
7,"スキルレベルを{0}以上にした","【現在レベル{0}】",1,
8,"アクセラレーションを{0}回発動","【現在{0}回】",1,
9,"最大コンボ数{0}回を達成","【現在{0}コンボ】",1,
10,"サポートスキルを{0}回発動","【現在{0}回】",1,
11,"シンクロスキルを{0}回発動","【現在{0}回】",1,
12,"中間順位{0}位以上を{1}回達成","【現在{0}回】",2,
13,"エンドガーディアンを撃破 (協力)","【現在】",0,
