// DefragMatchId,SeasonNo,Title,FirstAttackBonusCoefficient,LastAttackBonusCoefficient,Memo
1,1,"デフラグマッチ『プレシーズン』",0.5,0.5,
2,2,"デフラグマッチ『キリトシーズン』",0.5,0.5,
3,3,"デフラグマッチ『リーファシーズン』",0.3,0.3,
4,4,"デフラグマッチ『ユウキシーズン』",0.3,0.3,
5,5,"デフラグマッチ『アリスシーズン』",0.3,0.3,
6,6,"デフラグマッチ『レインシーズン』",0.3,0.3,
7,7,"デフラグマッチ『シノンシーズン』",0.3,0.3,
8,8,"デフラグマッチ『シリカシーズン』",0.3,0.3,
9,9,"デフラグマッチ『アスナシーズン』",0.3,0.3,
10,10,"デフラグマッチ『リズベットシーズン』",0.3,0.3,
11,11,"デフラグマッチ『ユージオシーズン』",0.3,0.3,
12,12,"デフラグマッチ『アルゴシーズン』",0.3,0.3,
13,13,"デフラグマッチ『リーファシーズン』",0.3,0.3,
14,14,"デフラグマッチ『ユウキシーズン』",0.3,0.3,
15,15,"デフラグマッチ『キリトシーズン』",0.3,0.3,
16,16,"デフラグマッチ『シノンシーズン』",0.3,0.3,
17,17,"デフラグマッチ『オールスターシーズン』",0.3,0.3,
