// EnemyId,UnitId,Name
1101,10050301,"ディノサウロイド"
1102,10060201,"デス・トルーパー"
1103,10070201,"コボルド・バトラー"
1104,10080201,"オークウォリアー"
1105,10030001,"シルキー"
1106,10530201,"メディックマッシュルーム"
1107,10050401,"ベイン・オーバーリザード"
1108,10180301,"デモンブロブ"
1201,10040000,"キリング・ボット"
1202,10040100,"ブッチャー・ボット"
1203,10120000,"レッサーデーモン"
1204,10130000,"グリフォン"
1205,10140401,"ザ・セイクリッドフェザー"
1206,10090400,"ホーリー・ロックドール"
1207,10100100,"ブライトスティンガー"
1208,10500201,"ポーラー・ボア"
1191,10010100,"フライングテイル"
1192,10020100,"ドゥアジット"
1193,10510000,"ガリッシュ・ガーベラ"
1194,10540002,"シザース"
2301,10100000,"スコーピオ"
2302,10130100,"デュオグリフォン"
2303,10000110,"重装守護騎士上位種"
2304,10040300,"カラミティ・ドール"
2305,10260300,"ホーリービースト"
2401,10150401,"ワイバーン・ルナライト"
2402,10250101,"ワイト"
2403,10070310,"コボルド・ワンダラー上位種"
2404,10050410,"ベイン・オーバーリザード上位種"
2405,10120201,"アークデーモン"
2391,10530202,"メディックマッシュルーム"
2392,10280102,"ブッカドゥー"
3101,10020101,"ヴィーヴル"
3102,10120000,"ガーゴイル"
3111,10050201,"リザードフォーク"
3112,10130000,"グリフォン"
3121,10500100,"火ボア"
3122,10260000,"フラウロス"
3131,10510101,"紫ガーベラ"
3132,10160000,"バジリスク"
3141,10560101,"兵隊アリ"
3142,10100001,"セルケト"
3201,10000200,"守護騎士・射手"
3202,10150101,"ムシュフシュ"
3211,10140300,"氷ハーピー"
3212,10090301,"氷ゴーレム"
3221,10280000,"ブッカブー"
3222,10250001,"ファントム"
3301,10000001,"守護騎士"
3302,10090201,"コロッサス"
3303,10000210,"守護騎士射手上位種"
3311,10280101,"ザントマン"
3312,10150000,"ワイバーン"
3313,10060110,"スパルトイ上位種"
3321,10540301,"氷カニ"
3322,10260200,"氷フラウロス"
3323,10080210,"オーク・フォルテ上位種"
3401,10040000,"ウズ"
3402,10130101,"ヒポグリフ"
3403,10050310,"ディノサウロイド上位種"
3411,10120100,"ドローレム"
3412,10160101,"アポピス"
3413,10080310,"ウルク・ハイ上位種"
3421,10230101,"ホムンクルス"
3422,10150301,"氷ワイバーン"
3423,10140310,"氷ハーピー上位種"
4301,10050301,"ディノサウロイド"
4302,10060201,"デス・トルーパー"
4303,10070101,"チーフコボルド"
4304,10080201,"オークウォリアー"
4305,10050401,"ベイン・オーバーリザード"
4401,10090200,"コロッサス"
4402,10230101,"ホムンクルス"
4403,10000101,"重装守護騎士"
4404,10070201,"コボルド・バトラー"
4405,10120000,"レッサーデーモン"
5101,10010301,"フーピー・ドラゴン"
5102,10050201,"リザードフォーク"
5103,10060101,"カーズ・スカル"
5104,10080301,"オークフォルテ"
5105,10090500,"キャノンドール"
5106,10230000,"ルーンナイト"
5107,10530101,"バッドトリップ"
5201,10070301,"コボルド・ワンダラー"
5202,10030301,"レイス・オブ・オーメン"
5203,10140100,"バイオレットフェザー"
5204,10500301,"セイクリッド・ボア"
5205,10260100,"モノケロス"
5206,10130200,"ダブルブラッド"
5207,10090301,"フロストスタチュー"
