// EnemySetId,EnemySetSubId,EnemyId,EnemyNum
101,1101,1101,8
102,1102,1102,8
103,1103,1103,8
104,1104,1104,8
105,1105,1105,8
106,1106,1106,12
107,1107,1107,8
108,1108,1108,10
109,1201,1201,3
110,1202,1202,3
111,1203,1203,3
112,1204,1204,2
113,1205,1205,6
114,1206,1206,2
115,1207,1207,2
116,1208,1208,1
117,1191,1191,8
118,1192,1192,8
119,1193,1193,8
120,1194,1194,6
201,2301,2301,3
202,2302,2302,3
203,2303,2303,2
204,2304,2304,3
205,2305,2305,2
206,2401,2401,2
207,2402,2402,2
208,2403,2403,2
209,2404,2404,2
210,2405,2405,4
211,2391,2391,8
212,2392,2392,8
301,3101,3101,10
302,3102,3102,2
303,3111,3111,6
304,3112,3112,1
305,3121,3121,4
306,3122,3122,1
307,3131,3131,6
308,3132,3132,1
309,3141,3141,8
310,3142,3142,2
311,3201,3201,6
312,3202,3202,1
313,3211,3211,6
314,3212,3212,1
315,3221,3221,6
316,3222,3222,1
317,3301,3301,8
318,3302,3302,1
319,3303,3303,1
320,3311,3311,6
321,3312,3312,1
322,3313,3313,1
323,3321,3321,4
324,3322,3322,1
325,3323,3323,1
326,3401,3401,3
327,3402,3402,1
328,3403,3403,2
329,3411,3411,3
330,3412,3412,2
331,3413,3413,2
332,3421,3421,6
333,3422,3422,1
334,3423,3423,2
401,4301,4301,9
402,4302,4302,7
403,4303,4303,7
404,4304,4304,7
405,4305,4305,7
406,4401,4401,5
407,4402,4402,11
408,4403,4403,9
409,4404,4404,9
410,4405,4405,5
501,5101,5101,6
502,5102,5102,5
503,5103,5102,5
504,5104,5104,4
505,5105,5105,2
506,5106,5106,3
507,5107,5107,8
508,5201,5201,5
509,5202,5202,4
510,5203,5203,4
511,5204,5204,1
512,5205,5205,2
513,5206,5206,2
514,5207,5207,2
